,0
tenure,-1.2399217153582385
Contract_Two year,-0.7431337277025444
InternetService_DSL,-0.6223462953355787
MonthlyCharges,-0.5488826158031409
PaperlessBilling_No,-0.3596924241777077
OnlineBackup_No internet service,-0.29158088115791203
DeviceProtection_No internet service,-0.29158088115791203
TechSupport_No internet service,-0.29158088115791203
StreamingTV_No internet service,-0.29158088115791203
StreamingMovies_No internet service,-0.29158088115791203
OnlineSecurity_No internet service,-0.29158088115791203
InternetService_No,-0.29158088115791203
Dependents_Yes,-0.26702554122353267
MultipleLines_No,-0.2628517632104788
StreamingMovies_No,-0.22725533119219435
